batch_id,steps,runtime,total_trim_loss,remaining_stock,used_stocks,avg_used_stock_area,total_reward
1,11935,17.142791986465454,3.477240467220457,5928,7,419.7142857142857,2061.2798558928794
2,58,0.8518774509429932,6.247681786177903,8146,9,243.44444444444446,-4.107491927437025
3,16436,14.96714735031128,2.0313066546391045,5504,5,432.4,782.1747287045717
4,4973,8.93466329574585,3.164574358909683,7183,6,496.3333333333333,181.54903426660283
5,33,0.7996978759765625,6.003335499023204,5730,8,191.25,-6.882092876179769
6,50,0.6632652282714844,5.8862463581410385,5385,8,179.5,-3.358126163969252
7,14,0.6792194843292236,6.900286135131523,6961,9,177.44444444444446,-3.683311591347654
8,1034,1.663067102432251,1.5099827062189364,7513,4,546.25,82.7852688820136
9,4465,3.834392547607422,3.8658267857060604,7967,7,424.0,524.4242425270514
10,24,0.7026257514953613,6.352295658181834,8798,8,195.25,-6.099659667181959
