batch_id,policy,steps,runtime,total_trim_loss,remaining_stocks,used_stocks,avg_used_stock_area
1,First-Fit,18,0.7870161533355713,1224,7,3,1387.3333333333333
1,Best-Fit,18,1.5893337726593018,908,4,6,641.0
1,Combination,18,0.6587786674499512,1224,7,3,1387.3333333333333
2,First-Fit,15,0.47771787643432617,1634,8,2,1912.5
2,Best-Fit,15,1.8708515167236328,1595,4,6,631.0
2,Combination,15,0.49489450454711914,1634,8,2,1912.5
3,First-Fit,14,0.44445061683654785,326,8,2,1244.0
3,Best-Fit,14,0.9982459545135498,480,5,5,528.4
3,Combination,13,0.41872072219848633,1988,6,4,1037.5
4,First-Fit,16,0.6212136745452881,812,8,2,1895.0
4,Best-Fit,16,1.625309944152832,1987,3,7,709.2857142857143
4,Combination,15,0.5839824676513672,1618,7,3,1532.0
5,First-Fit,11,0.29406213760375977,916,8,2,1223.0
5,Best-Fit,11,0.8214209079742432,635,5,5,433.0
5,Combination,11,0.30460524559020996,916,8,2,1223.0
6,First-Fit,11,0.2959723472595215,966,8,2,1201.0
6,Best-Fit,11,0.7618880271911621,787,5,5,444.6
6,Combination,11,0.289348840713501,966,8,2,1201.0
7,First-Fit,10,0.2855818271636963,1255,8,2,1426.0
7,Best-Fit,10,0.8680081367492676,1308,5,5,581.0
7,Combination,10,0.28107738494873047,1255,8,2,1426.0
8,First-Fit,13,0.39733195304870605,949,8,2,1567.0
8,Best-Fit,13,1.3086481094360352,720,5,5,581.0
8,Combination,13,0.42559361457824707,949,8,2,1567.0
9,First-Fit,16,0.6734137535095215,1088,8,2,2028.0
9,Best-Fit,16,1.8826277256011963,987,5,5,791.0
9,Combination,16,0.6114094257354736,1088,8,2,2028.0
10,First-Fit,12,0.368999719619751,545,9,1,2107.0
10,Best-Fit,12,1.4536848068237305,1163,5,5,545.0
10,Combination,12,0.3359720706939697,545,9,1,2107.0
