batch_id,policy,steps,runtime,total_trim_loss,remaining_stocks,used_stocks,avg_used_stock_area
1,First-Fit,18,0.6524715423583984,1224,7,3,1387.3333333333333
1,Best-Fit,18,1.5600383281707764,908,4,6,641.0
1,Combination,18,0.6532435417175293,1224,7,3,1387.3333333333333
2,First-Fit,15,0.5760571956634521,1634,8,2,1912.5
2,Best-Fit,15,1.733940601348877,1595,4,6,631.0
2,Combination,15,0.4486105442047119,1634,8,2,1912.5
3,First-Fit,14,0.45229434967041016,326,8,2,1244.0
3,Best-Fit,14,0.9359827041625977,480,5,5,528.4
3,Combination,13,0.38684868812561035,1988,6,4,1037.5
4,First-Fit,16,0.577392578125,812,8,2,1895.0
4,Best-Fit,16,1.4944982528686523,1987,3,7,709.2857142857143
4,Combination,15,0.49308061599731445,1618,7,3,1532.0
5,First-Fit,11,0.3141520023345947,916,8,2,1223.0
5,Best-Fit,11,0.7422962188720703,635,5,5,433.0
5,Combination,11,0.27109646797180176,916,8,2,1223.0
6,First-Fit,11,0.2914443016052246,966,8,2,1201.0
6,Best-Fit,11,0.7306904792785645,787,5,5,444.6
6,Combination,11,0.34044981002807617,966,8,2,1201.0
7,First-Fit,10,0.2579374313354492,1255,8,2,1426.0
7,Best-Fit,10,0.8307335376739502,1308,5,5,581.0
7,Combination,10,0.30989718437194824,1255,8,2,1426.0
8,First-Fit,13,0.3784818649291992,949,8,2,1567.0
8,Best-Fit,13,1.1949641704559326,720,5,5,581.0
8,Combination,13,0.42280030250549316,949,8,2,1567.0
9,First-Fit,16,0.5926694869995117,1088,8,2,2028.0
9,Best-Fit,16,1.6267988681793213,987,5,5,791.0
9,Combination,16,0.5507853031158447,1088,8,2,2028.0
10,First-Fit,12,0.32175135612487793,545,9,1,2107.0
10,Best-Fit,12,1.3455016613006592,1163,5,5,545.0
10,Combination,12,0.3333592414855957,545,9,1,2107.0
